>>> Starting benchmark: scala-kmeans
>>> GC: ZGC
>>> Duration: 600s
>>> Base dir: ZGC-java21-2026-04-25
>>> Output dir: ZGC-java21-2026-04-25/scala-kmeans
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Pauses.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Pauses.
[jmx-memory plugin] WARNING: MXBean for young generation not found, using mock.
====== scala-kmeans (scala) [default], iteration 462 completed (237.427 ms) ======
====== scala-kmeans (scala) [default], iteration 463 started ======
====== scala-kmeans (scala) [default], iteration 463 completed (237.457 ms) ======
====== scala-kmeans (scala) [default], iteration 464 started ======
====== scala-kmeans (scala) [default], iteration 464 completed (238.744 ms) ======
====== scala-kmeans (scala) [default], iteration 465 started ======
====== scala-kmeans (scala) [default], iteration 465 completed (238.199 ms) ======
====== scala-kmeans (scala) [default], iteration 466 started ======
====== scala-kmeans (scala) [default], iteration 466 completed (237.447 ms) ======
====== scala-kmeans (scala) [default], iteration 467 started ======
====== scala-kmeans (scala) [default], iteration 467 completed (237.989 ms) ======
====== scala-kmeans (scala) [default], iteration 468 started ======
====== scala-kmeans (scala) [default], iteration 468 completed (238.220 ms) ======
====== scala-kmeans (scala) [default], iteration 469 started ======
====== scala-kmeans (scala) [default], iteration 469 completed (237.556 ms) ======
====== scala-kmeans (scala) [default], iteration 470 started ======
====== scala-kmeans (scala) [default], iteration 470 completed (237.750 ms) ======
====== scala-kmeans (scala) [default], iteration 471 started ======
====== scala-kmeans (scala) [default], iteration 471 completed (238.182 ms) ======
====== scala-kmeans (scala) [default], iteration 472 started ======
====== scala-kmeans (scala) [default], iteration 472 completed (236.051 ms) ======
====== scala-kmeans (scala) [default], iteration 473 started ======
====== scala-kmeans (scala) [default], iteration 473 completed (239.493 ms) ======
====== scala-kmeans (scala) [default], iteration 474 started ======
====== scala-kmeans (scala) [default], iteration 474 completed (236.808 ms) ======
====== scala-kmeans (scala) [default], iteration 475 started ======
====== scala-kmeans (scala) [default], iteration 475 completed (236.867 ms) ======
====== scala-kmeans (scala) [default], iteration 476 started ======
====== scala-kmeans (scala) [default], iteration 476 completed (238.867 ms) ======
====== scala-kmeans (scala) [default], iteration 477 started ======
====== scala-kmeans (scala) [default], iteration 477 completed (237.850 ms) ======
====== scala-kmeans (scala) [default], iteration 478 started ======
====== scala-kmeans (scala) [default], iteration 478 completed (237.824 ms) ======
====== scala-kmeans (scala) [default], iteration 479 started ======
====== scala-kmeans (scala) [default], iteration 479 completed (237.010 ms) ======
====== scala-kmeans (scala) [default], iteration 480 started ======
====== scala-kmeans (scala) [default], iteration 480 completed (236.887 ms) ======
====== scala-kmeans (scala) [default], iteration 481 started ======
====== scala-kmeans (scala) [default], iteration 481 completed (238.069 ms) ======
====== scala-kmeans (scala) [default], iteration 482 started ======
====== scala-kmeans (scala) [default], iteration 482 completed (237.027 ms) ======
====== scala-kmeans (scala) [default], iteration 483 started ======
====== scala-kmeans (scala) [default], iteration 483 completed (237.797 ms) ======
====== scala-kmeans (scala) [default], iteration 484 started ======
====== scala-kmeans (scala) [default], iteration 484 completed (239.612 ms) ======
====== scala-kmeans (scala) [default], iteration 485 started ======
====== scala-kmeans (scala) [default], iteration 485 completed (237.630 ms) ======
====== scala-kmeans (scala) [default], iteration 486 started ======
====== scala-kmeans (scala) [default], iteration 486 completed (239.954 ms) ======
====== scala-kmeans (scala) [default], iteration 487 started ======
====== scala-kmeans (scala) [default], iteration 487 completed (237.888 ms) ======
====== scala-kmeans (scala) [default], iteration 488 started ======
====== scala-kmeans (scala) [default], iteration 488 completed (237.683 ms) ======
====== scala-kmeans (scala) [default], iteration 489 started ======
====== scala-kmeans (scala) [default], iteration 489 completed (237.879 ms) ======
====== scala-kmeans (scala) [default], iteration 490 started ======
====== scala-kmeans (scala) [default], iteration 490 completed (238.682 ms) ======
====== scala-kmeans (scala) [default], iteration 491 started ======
====== scala-kmeans (scala) [default], iteration 491 completed (237.931 ms) ======
====== scala-kmeans (scala) [default], iteration 492 started ======
====== scala-kmeans (scala) [default], iteration 492 completed (238.031 ms) ======
====== scala-kmeans (scala) [default], iteration 493 started ======
====== scala-kmeans (scala) [default], iteration 493 completed (237.113 ms) ======
====== scala-kmeans (scala) [default], iteration 494 started ======
====== scala-kmeans (scala) [default], iteration 494 completed (237.506 ms) ======
====== scala-kmeans (scala) [default], iteration 495 started ======
====== scala-kmeans (scala) [default], iteration 495 completed (238.027 ms) ======
====== scala-kmeans (scala) [default], iteration 496 started ======
====== scala-kmeans (scala) [default], iteration 496 completed (239.924 ms) ======
====== scala-kmeans (scala) [default], iteration 497 started ======
====== scala-kmeans (scala) [default], iteration 497 completed (254.656 ms) ======
====== scala-kmeans (scala) [default], iteration 498 started ======
====== scala-kmeans (scala) [default], iteration 498 completed (246.654 ms) ======
====== scala-kmeans (scala) [default], iteration 499 started ======
====== scala-kmeans (scala) [default], iteration 499 completed (239.931 ms) ======
====== scala-kmeans (scala) [default], iteration 500 started ======
====== scala-kmeans (scala) [default], iteration 500 completed (236.502 ms) ======
====== scala-kmeans (scala) [default], iteration 501 started ======
====== scala-kmeans (scala) [default], iteration 501 completed (238.116 ms) ======
====== scala-kmeans (scala) [default], iteration 502 started ======
====== scala-kmeans (scala) [default], iteration 502 completed (239.276 ms) ======
====== scala-kmeans (scala) [default], iteration 503 started ======
====== scala-kmeans (scala) [default], iteration 503 completed (238.079 ms) ======
====== scala-kmeans (scala) [default], iteration 504 started ======
====== scala-kmeans (scala) [default], iteration 504 completed (239.017 ms) ======
====== scala-kmeans (scala) [default], iteration 505 started ======
====== scala-kmeans (scala) [default], iteration 505 completed (238.063 ms) ======
====== scala-kmeans (scala) [default], iteration 506 started ======
====== scala-kmeans (scala) [default], iteration 506 completed (240.046 ms) ======
====== scala-kmeans (scala) [default], iteration 507 started ======
====== scala-kmeans (scala) [default], iteration 507 completed (238.349 ms) ======
====== scala-kmeans (scala) [default], iteration 508 started ======
====== scala-kmeans (scala) [default], iteration 508 completed (238.085 ms) ======
====== scala-kmeans (scala) [default], iteration 509 started ======
====== scala-kmeans (scala) [default], iteration 509 completed (236.909 ms) ======
====== scala-kmeans (scala) [default], iteration 510 started ======
====== scala-kmeans (scala) [default], iteration 510 completed (236.235 ms) ======
====== scala-kmeans (scala) [default], iteration 511 started ======
====== scala-kmeans (scala) [default], iteration 511 completed (236.495 ms) ======
====== scala-kmeans (scala) [default], iteration 512 started ======
====== scala-kmeans (scala) [default], iteration 512 completed (238.485 ms) ======
====== scala-kmeans (scala) [default], iteration 513 started ======
====== scala-kmeans (scala) [default], iteration 513 completed (236.591 ms) ======
====== scala-kmeans (scala) [default], iteration 514 started ======
====== scala-kmeans (scala) [default], iteration 514 completed (238.072 ms) ======
====== scala-kmeans (scala) [default], iteration 515 started ======
====== scala-kmeans (scala) [default], iteration 515 completed (237.032 ms) ======
====== scala-kmeans (scala) [default], iteration 516 started ======
====== scala-kmeans (scala) [default], iteration 516 completed (236.777 ms) ======
====== scala-kmeans (scala) [default], iteration 517 started ======
====== scala-kmeans (scala) [default], iteration 517 completed (236.676 ms) ======
====== scala-kmeans (scala) [default], iteration 518 started ======
====== scala-kmeans (scala) [default], iteration 518 completed (238.566 ms) ======
====== scala-kmeans (scala) [default], iteration 519 started ======
====== scala-kmeans (scala) [default], iteration 519 completed (240.480 ms) ======
====== scala-kmeans (scala) [default], iteration 520 started ======
====== scala-kmeans (scala) [default], iteration 520 completed (237.422 ms) ======
====== scala-kmeans (scala) [default], iteration 521 started ======
====== scala-kmeans (scala) [default], iteration 521 completed (237.910 ms) ======
====== scala-kmeans (scala) [default], iteration 522 started ======
====== scala-kmeans (scala) [default], iteration 522 completed (238.106 ms) ======
====== scala-kmeans (scala) [default], iteration 523 started ======
====== scala-kmeans (scala) [default], iteration 523 completed (237.104 ms) ======
====== scala-kmeans (scala) [default], iteration 524 started ======
====== scala-kmeans (scala) [default], iteration 524 completed (239.269 ms) ======
====== scala-kmeans (scala) [default], iteration 525 started ======
====== scala-kmeans (scala) [default], iteration 525 completed (238.055 ms) ======
====== scala-kmeans (scala) [default], iteration 526 started ======
====== scala-kmeans (scala) [default], iteration 526 completed (237.698 ms) ======
====== scala-kmeans (scala) [default], iteration 527 started ======
====== scala-kmeans (scala) [default], iteration 527 completed (237.979 ms) ======
====== scala-kmeans (scala) [default], iteration 528 started ======
====== scala-kmeans (scala) [default], iteration 528 completed (237.941 ms) ======
====== scala-kmeans (scala) [default], iteration 529 started ======
====== scala-kmeans (scala) [default], iteration 529 completed (238.145 ms) ======
====== scala-kmeans (scala) [default], iteration 530 started ======
====== scala-kmeans (scala) [default], iteration 530 completed (240.361 ms) ======
====== scala-kmeans (scala) [default], iteration 531 started ======
====== scala-kmeans (scala) [default], iteration 531 completed (237.548 ms) ======
====== scala-kmeans (scala) [default], iteration 532 started ======
====== scala-kmeans (scala) [default], iteration 532 completed (238.421 ms) ======
====== scala-kmeans (scala) [default], iteration 533 started ======
====== scala-kmeans (scala) [default], iteration 533 completed (237.196 ms) ======
====== scala-kmeans (scala) [default], iteration 534 started ======
====== scala-kmeans (scala) [default], iteration 534 completed (238.566 ms) ======
====== scala-kmeans (scala) [default], iteration 535 started ======
====== scala-kmeans (scala) [default], iteration 535 completed (237.582 ms) ======
====== scala-kmeans (scala) [default], iteration 536 started ======
====== scala-kmeans (scala) [default], iteration 536 completed (239.228 ms) ======
====== scala-kmeans (scala) [default], iteration 537 started ======
====== scala-kmeans (scala) [default], iteration 537 completed (237.618 ms) ======
====== scala-kmeans (scala) [default], iteration 538 started ======
====== scala-kmeans (scala) [default], iteration 538 completed (237.978 ms) ======
====== scala-kmeans (scala) [default], iteration 539 started ======
====== scala-kmeans (scala) [default], iteration 539 completed (238.128 ms) ======
====== scala-kmeans (scala) [default], iteration 540 started ======
====== scala-kmeans (scala) [default], iteration 540 completed (238.930 ms) ======
====== scala-kmeans (scala) [default], iteration 541 started ======
====== scala-kmeans (scala) [default], iteration 541 completed (288.142 ms) ======
====== scala-kmeans (scala) [default], iteration 542 started ======
====== scala-kmeans (scala) [default], iteration 542 completed (238.141 ms) ======
====== scala-kmeans (scala) [default], iteration 543 started ======
====== scala-kmeans (scala) [default], iteration 543 completed (237.334 ms) ======
====== scala-kmeans (scala) [default], iteration 544 started ======
====== scala-kmeans (scala) [default], iteration 544 completed (239.893 ms) ======
====== scala-kmeans (scala) [default], iteration 545 started ======
====== scala-kmeans (scala) [default], iteration 545 completed (238.209 ms) ======
====== scala-kmeans (scala) [default], iteration 546 started ======
====== scala-kmeans (scala) [default], iteration 546 completed (237.901 ms) ======
====== scala-kmeans (scala) [default], iteration 547 started ======
====== scala-kmeans (scala) [default], iteration 547 completed (237.883 ms) ======
====== scala-kmeans (scala) [default], iteration 548 started ======
====== scala-kmeans (scala) [default], iteration 548 completed (238.999 ms) ======
====== scala-kmeans (scala) [default], iteration 549 started ======
====== scala-kmeans (scala) [default], iteration 549 completed (237.648 ms) ======
====== scala-kmeans (scala) [default], iteration 550 started ======
====== scala-kmeans (scala) [default], iteration 550 completed (236.870 ms) ======
====== scala-kmeans (scala) [default], iteration 551 started ======
====== scala-kmeans (scala) [default], iteration 551 completed (240.109 ms) ======
====== scala-kmeans (scala) [default], iteration 552 started ======
====== scala-kmeans (scala) [default], iteration 552 completed (236.352 ms) ======
====== scala-kmeans (scala) [default], iteration 553 started ======
====== scala-kmeans (scala) [default], iteration 553 completed (238.443 ms) ======
====== scala-kmeans (scala) [default], iteration 554 started ======
====== scala-kmeans (scala) [default], iteration 554 completed (237.846 ms) ======
====== scala-kmeans (scala) [default], iteration 555 started ======
====== scala-kmeans (scala) [default], iteration 555 completed (238.496 ms) ======
====== scala-kmeans (scala) [default], iteration 556 started ======
====== scala-kmeans (scala) [default], iteration 556 completed (237.719 ms) ======
====== scala-kmeans (scala) [default], iteration 557 started ======
====== scala-kmeans (scala) [default], iteration 557 completed (237.340 ms) ======
====== scala-kmeans (scala) [default], iteration 558 started ======
====== scala-kmeans (scala) [default], iteration 558 completed (238.828 ms) ======
====== scala-kmeans (scala) [default], iteration 559 started ======
====== scala-kmeans (scala) [default], iteration 559 completed (237.097 ms) ======
====== scala-kmeans (scala) [default], iteration 560 started ======
====== scala-kmeans (scala) [default], iteration 560 completed (237.748 ms) ======
====== scala-kmeans (scala) [default], iteration 561 started ======
====== scala-kmeans (scala) [default], iteration 561 completed (237.882 ms) ======
====== scala-kmeans (scala) [default], iteration 562 started ======
====== scala-kmeans (scala) [default], iteration 562 completed (237.420 ms) ======
====== scala-kmeans (scala) [default], iteration 563 started ======
====== scala-kmeans (scala) [default], iteration 563 completed (238.118 ms) ======
====== scala-kmeans (scala) [default], iteration 564 started ======
====== scala-kmeans (scala) [default], iteration 564 completed (237.746 ms) ======
====== scala-kmeans (scala) [default], iteration 565 started ======
====== scala-kmeans (scala) [default], iteration 565 completed (239.999 ms) ======
====== scala-kmeans (scala) [default], iteration 566 started ======
====== scala-kmeans (scala) [default], iteration 566 completed (237.609 ms) ======
====== scala-kmeans (scala) [default], iteration 567 started ======
====== scala-kmeans (scala) [default], iteration 567 completed (237.294 ms) ======
====== scala-kmeans (scala) [default], iteration 568 started ======
====== scala-kmeans (scala) [default], iteration 568 completed (238.365 ms) ======
====== scala-kmeans (scala) [default], iteration 569 started ======
====== scala-kmeans (scala) [default], iteration 569 completed (237.568 ms) ======
====== scala-kmeans (scala) [default], iteration 570 started ======
====== scala-kmeans (scala) [default], iteration 570 completed (236.844 ms) ======
====== scala-kmeans (scala) [default], iteration 571 started ======
====== scala-kmeans (scala) [default], iteration 571 completed (239.245 ms) ======
====== scala-kmeans (scala) [default], iteration 572 started ======
====== scala-kmeans (scala) [default], iteration 572 completed (233.895 ms) ======
====== scala-kmeans (scala) [default], iteration 573 started ======
====== scala-kmeans (scala) [default], iteration 573 completed (236.264 ms) ======
====== scala-kmeans (scala) [default], iteration 574 started ======
====== scala-kmeans (scala) [default], iteration 574 completed (237.127 ms) ======
====== scala-kmeans (scala) [default], iteration 575 started ======
====== scala-kmeans (scala) [default], iteration 575 completed (237.368 ms) ======
====== scala-kmeans (scala) [default], iteration 576 started ======
====== scala-kmeans (scala) [default], iteration 576 completed (237.109 ms) ======
====== scala-kmeans (scala) [default], iteration 577 started ======
====== scala-kmeans (scala) [default], iteration 577 completed (235.132 ms) ======
====== scala-kmeans (scala) [default], iteration 578 started ======
====== scala-kmeans (scala) [default], iteration 578 completed (236.947 ms) ======
====== scala-kmeans (scala) [default], iteration 579 started ======
====== scala-kmeans (scala) [default], iteration 579 completed (235.676 ms) ======
====== scala-kmeans (scala) [default], iteration 580 started ======
====== scala-kmeans (scala) [default], iteration 580 completed (236.769 ms) ======
====== scala-kmeans (scala) [default], iteration 581 started ======
====== scala-kmeans (scala) [default], iteration 581 completed (235.728 ms) ======
====== scala-kmeans (scala) [default], iteration 582 started ======
====== scala-kmeans (scala) [default], iteration 582 completed (235.328 ms) ======
====== scala-kmeans (scala) [default], iteration 583 started ======
====== scala-kmeans (scala) [default], iteration 583 completed (236.832 ms) ======
====== scala-kmeans (scala) [default], iteration 584 started ======
====== scala-kmeans (scala) [default], iteration 584 completed (236.972 ms) ======
====== scala-kmeans (scala) [default], iteration 585 started ======
====== scala-kmeans (scala) [default], iteration 585 completed (235.804 ms) ======
====== scala-kmeans (scala) [default], iteration 586 started ======
====== scala-kmeans (scala) [default], iteration 586 completed (236.779 ms) ======
====== scala-kmeans (scala) [default], iteration 587 started ======
====== scala-kmeans (scala) [default], iteration 587 completed (237.431 ms) ======
====== scala-kmeans (scala) [default], iteration 588 started ======
====== scala-kmeans (scala) [default], iteration 588 completed (236.453 ms) ======
====== scala-kmeans (scala) [default], iteration 589 started ======
====== scala-kmeans (scala) [default], iteration 589 completed (242.804 ms) ======
====== scala-kmeans (scala) [default], iteration 590 started ======
====== scala-kmeans (scala) [default], iteration 590 completed (260.651 ms) ======
====== scala-kmeans (scala) [default], iteration 591 started ======
====== scala-kmeans (scala) [default], iteration 591 completed (236.212 ms) ======
====== scala-kmeans (scala) [default], iteration 592 started ======
====== scala-kmeans (scala) [default], iteration 592 completed (236.235 ms) ======
====== scala-kmeans (scala) [default], iteration 593 started ======
====== scala-kmeans (scala) [default], iteration 593 completed (236.626 ms) ======
====== scala-kmeans (scala) [default], iteration 594 started ======
====== scala-kmeans (scala) [default], iteration 594 completed (236.361 ms) ======
====== scala-kmeans (scala) [default], iteration 595 started ======
====== scala-kmeans (scala) [default], iteration 595 completed (236.308 ms) ======
====== scala-kmeans (scala) [default], iteration 596 started ======
====== scala-kmeans (scala) [default], iteration 596 completed (236.441 ms) ======
====== scala-kmeans (scala) [default], iteration 597 started ======
====== scala-kmeans (scala) [default], iteration 597 completed (234.938 ms) ======
====== scala-kmeans (scala) [default], iteration 598 started ======
====== scala-kmeans (scala) [default], iteration 598 completed (233.612 ms) ======
====== scala-kmeans (scala) [default], iteration 599 started ======
====== scala-kmeans (scala) [default], iteration 599 completed (235.011 ms) ======
====== scala-kmeans (scala) [default], iteration 600 started ======
====== scala-kmeans (scala) [default], iteration 600 completed (234.341 ms) ======
====== scala-kmeans (scala) [default], iteration 601 started ======
====== scala-kmeans (scala) [default], iteration 601 completed (237.165 ms) ======
====== scala-kmeans (scala) [default], iteration 602 started ======
====== scala-kmeans (scala) [default], iteration 602 completed (235.162 ms) ======
====== scala-kmeans (scala) [default], iteration 603 started ======
====== scala-kmeans (scala) [default], iteration 603 completed (235.498 ms) ======
====== scala-kmeans (scala) [default], iteration 604 started ======
====== scala-kmeans (scala) [default], iteration 604 completed (238.215 ms) ======
====== scala-kmeans (scala) [default], iteration 605 started ======
====== scala-kmeans (scala) [default], iteration 605 completed (235.920 ms) ======
====== scala-kmeans (scala) [default], iteration 606 started ======
====== scala-kmeans (scala) [default], iteration 606 completed (237.332 ms) ======
====== scala-kmeans (scala) [default], iteration 607 started ======
====== scala-kmeans (scala) [default], iteration 607 completed (237.240 ms) ======
====== scala-kmeans (scala) [default], iteration 608 started ======
====== scala-kmeans (scala) [default], iteration 608 completed (236.187 ms) ======
====== scala-kmeans (scala) [default], iteration 609 started ======
====== scala-kmeans (scala) [default], iteration 609 completed (235.866 ms) ======
====== scala-kmeans (scala) [default], iteration 610 started ======
====== scala-kmeans (scala) [default], iteration 610 completed (236.540 ms) ======
====== scala-kmeans (scala) [default], iteration 611 started ======
====== scala-kmeans (scala) [default], iteration 611 completed (236.720 ms) ======
====== scala-kmeans (scala) [default], iteration 612 started ======
====== scala-kmeans (scala) [default], iteration 612 completed (237.065 ms) ======
====== scala-kmeans (scala) [default], iteration 613 started ======
====== scala-kmeans (scala) [default], iteration 613 completed (237.104 ms) ======
====== scala-kmeans (scala) [default], iteration 614 started ======
====== scala-kmeans (scala) [default], iteration 614 completed (238.322 ms) ======
====== scala-kmeans (scala) [default], iteration 615 started ======
====== scala-kmeans (scala) [default], iteration 615 completed (237.527 ms) ======
====== scala-kmeans (scala) [default], iteration 616 started ======
====== scala-kmeans (scala) [default], iteration 616 completed (237.327 ms) ======
====== scala-kmeans (scala) [default], iteration 617 started ======
====== scala-kmeans (scala) [default], iteration 617 completed (237.113 ms) ======
====== scala-kmeans (scala) [default], iteration 618 started ======
====== scala-kmeans (scala) [default], iteration 618 completed (237.065 ms) ======
====== scala-kmeans (scala) [default], iteration 619 started ======
====== scala-kmeans (scala) [default], iteration 619 completed (239.042 ms) ======
====== scala-kmeans (scala) [default], iteration 620 started ======
====== scala-kmeans (scala) [default], iteration 620 completed (238.375 ms) ======
====== scala-kmeans (scala) [default], iteration 621 started ======
====== scala-kmeans (scala) [default], iteration 621 completed (238.749 ms) ======
====== scala-kmeans (scala) [default], iteration 622 started ======
====== scala-kmeans (scala) [default], iteration 622 completed (237.996 ms) ======
====== scala-kmeans (scala) [default], iteration 623 started ======
====== scala-kmeans (scala) [default], iteration 623 completed (237.419 ms) ======
====== scala-kmeans (scala) [default], iteration 624 started ======
====== scala-kmeans (scala) [default], iteration 624 completed (237.326 ms) ======
====== scala-kmeans (scala) [default], iteration 625 started ======
====== scala-kmeans (scala) [default], iteration 625 completed (237.172 ms) ======
====== scala-kmeans (scala) [default], iteration 626 started ======
====== scala-kmeans (scala) [default], iteration 626 completed (238.368 ms) ======
====== scala-kmeans (scala) [default], iteration 627 started ======
====== scala-kmeans (scala) [default], iteration 627 completed (237.921 ms) ======
====== scala-kmeans (scala) [default], iteration 628 started ======
====== scala-kmeans (scala) [default], iteration 628 completed (236.588 ms) ======
====== scala-kmeans (scala) [default], iteration 629 started ======
====== scala-kmeans (scala) [default], iteration 629 completed (238.430 ms) ======
====== scala-kmeans (scala) [default], iteration 630 started ======
====== scala-kmeans (scala) [default], iteration 630 completed (237.917 ms) ======
====== scala-kmeans (scala) [default], iteration 631 started ======
====== scala-kmeans (scala) [default], iteration 631 completed (240.646 ms) ======
====== scala-kmeans (scala) [default], iteration 632 started ======
====== scala-kmeans (scala) [default], iteration 632 completed (238.040 ms) ======
====== scala-kmeans (scala) [default], iteration 633 started ======
====== scala-kmeans (scala) [default], iteration 633 completed (237.798 ms) ======
====== scala-kmeans (scala) [default], iteration 634 started ======
====== scala-kmeans (scala) [default], iteration 634 completed (266.962 ms) ======
====== scala-kmeans (scala) [default], iteration 635 started ======
====== scala-kmeans (scala) [default], iteration 635 completed (238.887 ms) ======
====== scala-kmeans (scala) [default], iteration 636 started ======
====== scala-kmeans (scala) [default], iteration 636 completed (237.279 ms) ======
====== scala-kmeans (scala) [default], iteration 637 started ======
====== scala-kmeans (scala) [default], iteration 637 completed (236.588 ms) ======
====== scala-kmeans (scala) [default], iteration 638 started ======
====== scala-kmeans (scala) [default], iteration 638 completed (235.957 ms) ======
====== scala-kmeans (scala) [default], iteration 639 started ======
====== scala-kmeans (scala) [default], iteration 639 completed (236.249 ms) ======
====== scala-kmeans (scala) [default], iteration 640 started ======
====== scala-kmeans (scala) [default], iteration 640 completed (238.241 ms) ======
====== scala-kmeans (scala) [default], iteration 641 started ======
====== scala-kmeans (scala) [default], iteration 641 completed (237.763 ms) ======
====== scala-kmeans (scala) [default], iteration 642 started ======
====== scala-kmeans (scala) [default], iteration 642 completed (239.664 ms) ======
====== scala-kmeans (scala) [default], iteration 643 started ======
====== scala-kmeans (scala) [default], iteration 643 completed (238.081 ms) ======
====== scala-kmeans (scala) [default], iteration 644 started ======
====== scala-kmeans (scala) [default], iteration 644 completed (237.732 ms) ======
====== scala-kmeans (scala) [default], iteration 645 started ======
====== scala-kmeans (scala) [default], iteration 645 completed (238.544 ms) ======
====== scala-kmeans (scala) [default], iteration 646 started ======
====== scala-kmeans (scala) [default], iteration 646 completed (238.054 ms) ======
====== scala-kmeans (scala) [default], iteration 647 started ======
====== scala-kmeans (scala) [default], iteration 647 completed (237.122 ms) ======
====== scala-kmeans (scala) [default], iteration 648 started ======
====== scala-kmeans (scala) [default], iteration 648 completed (237.144 ms) ======
====== scala-kmeans (scala) [default], iteration 649 started ======
====== scala-kmeans (scala) [default], iteration 649 completed (237.845 ms) ======
====== scala-kmeans (scala) [default], iteration 650 started ======
====== scala-kmeans (scala) [default], iteration 650 completed (236.893 ms) ======
====== scala-kmeans (scala) [default], iteration 651 started ======
====== scala-kmeans (scala) [default], iteration 651 completed (237.480 ms) ======
====== scala-kmeans (scala) [default], iteration 652 started ======
====== scala-kmeans (scala) [default], iteration 652 completed (237.528 ms) ======
====== scala-kmeans (scala) [default], iteration 653 started ======
====== scala-kmeans (scala) [default], iteration 653 completed (237.183 ms) ======
====== scala-kmeans (scala) [default], iteration 654 started ======
====== scala-kmeans (scala) [default], iteration 654 completed (239.212 ms) ======
====== scala-kmeans (scala) [default], iteration 655 started ======
====== scala-kmeans (scala) [default], iteration 655 completed (237.980 ms) ======
====== scala-kmeans (scala) [default], iteration 656 started ======
====== scala-kmeans (scala) [default], iteration 656 completed (237.934 ms) ======
====== scala-kmeans (scala) [default], iteration 657 started ======
====== scala-kmeans (scala) [default], iteration 657 completed (238.468 ms) ======
====== scala-kmeans (scala) [default], iteration 658 started ======
====== scala-kmeans (scala) [default], iteration 658 completed (237.771 ms) ======
====== scala-kmeans (scala) [default], iteration 659 started ======
====== scala-kmeans (scala) [default], iteration 659 completed (238.153 ms) ======
====== scala-kmeans (scala) [default], iteration 660 started ======
====== scala-kmeans (scala) [default], iteration 660 completed (237.715 ms) ======
====== scala-kmeans (scala) [default], iteration 661 started ======
====== scala-kmeans (scala) [default], iteration 661 completed (237.160 ms) ======
====== scala-kmeans (scala) [default], iteration 662 started ======
====== scala-kmeans (scala) [default], iteration 662 completed (239.136 ms) ======
====== scala-kmeans (scala) [default], iteration 663 started ======
====== scala-kmeans (scala) [default], iteration 663 completed (237.674 ms) ======
====== scala-kmeans (scala) [default], iteration 664 started ======
====== scala-kmeans (scala) [default], iteration 664 completed (237.705 ms) ======
====== scala-kmeans (scala) [default], iteration 665 started ======
====== scala-kmeans (scala) [default], iteration 665 completed (238.028 ms) ======
====== scala-kmeans (scala) [default], iteration 666 started ======
====== scala-kmeans (scala) [default], iteration 666 completed (236.901 ms) ======
====== scala-kmeans (scala) [default], iteration 667 started ======
====== scala-kmeans (scala) [default], iteration 667 completed (238.327 ms) ======
====== scala-kmeans (scala) [default], iteration 668 started ======
====== scala-kmeans (scala) [default], iteration 668 completed (238.001 ms) ======
====== scala-kmeans (scala) [default], iteration 669 started ======
====== scala-kmeans (scala) [default], iteration 669 completed (237.888 ms) ======
====== scala-kmeans (scala) [default], iteration 670 started ======
====== scala-kmeans (scala) [default], iteration 670 completed (244.779 ms) ======
====== scala-kmeans (scala) [default], iteration 671 started ======
====== scala-kmeans (scala) [default], iteration 671 completed (236.975 ms) ======
====== scala-kmeans (scala) [default], iteration 672 started ======
====== scala-kmeans (scala) [default], iteration 672 completed (237.955 ms) ======
====== scala-kmeans (scala) [default], iteration 673 started ======
====== scala-kmeans (scala) [default], iteration 673 completed (237.202 ms) ======
====== scala-kmeans (scala) [default], iteration 674 started ======
====== scala-kmeans (scala) [default], iteration 674 completed (237.136 ms) ======
====== scala-kmeans (scala) [default], iteration 675 started ======
====== scala-kmeans (scala) [default], iteration 675 completed (267.931 ms) ======
====== scala-kmeans (scala) [default], iteration 676 started ======
====== scala-kmeans (scala) [default], iteration 676 completed (239.699 ms) ======
====== scala-kmeans (scala) [default], iteration 677 started ======
====== scala-kmeans (scala) [default], iteration 677 completed (236.776 ms) ======
====== scala-kmeans (scala) [default], iteration 678 started ======
====== scala-kmeans (scala) [default], iteration 678 completed (236.984 ms) ======
====== scala-kmeans (scala) [default], iteration 679 started ======
====== scala-kmeans (scala) [default], iteration 679 completed (237.537 ms) ======
====== scala-kmeans (scala) [default], iteration 680 started ======
====== scala-kmeans (scala) [default], iteration 680 completed (237.369 ms) ======
====== scala-kmeans (scala) [default], iteration 681 started ======
====== scala-kmeans (scala) [default], iteration 681 completed (238.340 ms) ======
====== scala-kmeans (scala) [default], iteration 682 started ======
====== scala-kmeans (scala) [default], iteration 682 completed (236.962 ms) ======
====== scala-kmeans (scala) [default], iteration 683 started ======
====== scala-kmeans (scala) [default], iteration 683 completed (237.827 ms) ======
====== scala-kmeans (scala) [default], iteration 684 started ======
====== scala-kmeans (scala) [default], iteration 684 completed (240.270 ms) ======
====== scala-kmeans (scala) [default], iteration 685 started ======
====== scala-kmeans (scala) [default], iteration 685 completed (237.003 ms) ======
====== scala-kmeans (scala) [default], iteration 686 started ======
====== scala-kmeans (scala) [default], iteration 686 completed (237.848 ms) ======
